Stopping: 0 Dist Diff: 0.0000 
Stopping: 1 Dist Diff: 0.0000 
Stopping: 2 Dist Diff: 0.0000 
Stopping: 3 Dist Diff: 0.0000 
Trigger Stopping!
Trigger Stopping!
Trigger Stopping!
Trigger Stopping!
Stopped 0 
Stopped 1 
Stopped 2 
Stopped 3 
3 SF: 0.447748 
0 SF: 0.449164 
1 SF: 0.449348 
2 SF: 0.449538 
3 SF: 0.449716 
0 SF: 0.451142 
1 SF: 0.451324 
2 SF: 0.451520 
3 SF: 0.451690 
0 SF: 0.453134 
1 SF: 0.453310 
2 SF: 0.453498 
3 SF: 0.453676 
0 SF: 0.455106 
1 SF: 0.455286 
2 SF: 0.455480 
3 SF: 0.455670 
0 SF: 0.457092 
1 SF: 0.457282 
2 SF: 0.457472 
3 SF: 0.457664 
0 SF: 0.459104 
1 SF: 0.459300 
2 SF: 0.459494 
3 SF: 0.459684 
0 SF: 0.461130 
1 SF: 0.461322 
2 SF: 0.461516 
3 SF: 0.461704 
0 SF: 0.463144 
1 SF: 0.463338 
2 SF: 0.463534 
3 SF: 0.463724 
0 SF: 0.465170 
1 SF: 0.465368 
2 SF: 0.465572 
3 SF: 0.465770 
0 SF: 0.467196 
1 SF: 0.467392 
2 SF: 0.467590 
3 SF: 0.467774 
0 SF: 0.469224 
1 SF: 0.469418 
2 SF: 0.469614 
3 SF: 0.469794 
0 SF: 0.471244 
1 SF: 0.471438 
2 SF: 0.471634 
3 SF: 0.471820 
0 SF: 0.473270 
1 SF: 0.473460 
2 SF: 0.473656 
3 SF: 0.473834 
0 SF: 0.475312 
1 SF: 0.475512 
2 SF: 0.475722 
3 SF: 0.475916 
0 SF: 0.477336 
1 SF: 0.477534 
2 SF: 0.477732 
3 SF: 0.477916 
0 SF: 0.479356 
1 SF: 0.479552 
2 SF: 0.479754 
3 SF: 0.479942 
0 SF: 0.481384 
1 SF: 0.481572 
2 SF: 0.481778 
3 SF: 0.481966 
0 SF: 0.483404 
1 SF: 0.483598 
2 SF: 0.483802 
3 SF: 0.483982 
0 SF: 0.485418 
1 SF: 0.485620 
2 SF: 0.485830 
3 SF: 0.486020 
0 SF: 0.487448 
1 SF: 0.487644 
2 SF: 0.487840 
3 SF: 0.488030 
0 SF: 0.489462 
1 SF: 0.489660 
2 SF: 0.489858 
3 SF: 0.490046 
0 SF: 0.491478 
1 SF: 0.491674 
2 SF: 0.491870 
3 SF: 0.492052 
0 SF: 0.493492 
